date,open,high,low,close,volume,average,barCount
2025-10-21 12:11:00-04:00,447.73,447.81,447.51,447.54,82143.0,447.637,430
2025-10-21 12:12:00-04:00,447.54,448.09,447.51,447.84,111683.0,447.787,537
2025-10-21 12:13:00-04:00,447.84,448.08,447.73,447.93,57591.0,447.941,322
2025-10-21 12:14:00-04:00,447.91,448.14,447.85,448.03,53655.0,447.998,260
2025-10-21 12:15:00-04:00,448.03,448.28,447.85,447.93,73393.0,448.051,372
2025-10-21 12:16:00-04:00,447.9,448.1,447.56,447.57,69856.0,447.865,369
2025-10-21 12:17:00-04:00,447.58,447.61,447.3,447.55,87177.0,447.43,460
2025-10-21 12:18:00-04:00,447.6,447.66,447.46,447.58,39396.0,447.555,200
2025-10-21 12:19:00-04:00,447.54,447.75,447.41,447.65,36072.0,447.586,182
2025-10-21 12:20:00-04:00,447.66,447.94,447.57,447.81,57113.0,447.792,317
2025-10-21 12:21:00-04:00,447.84,447.84,447.31,447.49,52932.0,447.543,286
2025-10-21 12:22:00-04:00,447.48,447.82,447.48,447.66,51156.0,447.636,275
2025-10-21 12:23:00-04:00,447.67,448.0,447.59,447.91,48267.0,447.814,248
2025-10-21 12:24:00-04:00,447.9,447.94,447.74,447.81,41482.0,447.848,228
2025-10-21 12:25:00-04:00,447.82,448.02,447.54,447.56,49507.0,447.867,293
2025-10-21 12:26:00-04:00,447.58,448.19,447.5,447.93,73550.0,447.821,385
2025-10-21 12:27:00-04:00,447.89,448.51,447.85,448.42,97505.0,448.288,479
2025-10-21 12:28:00-04:00,448.42,448.46,448.2,448.39,66821.0,448.311,282
2025-10-21 12:29:00-04:00,448.42,448.43,448.12,448.29,43239.0,448.228,232
2025-10-21 12:30:00-04:00,448.29,448.67,448.13,448.5,73318.0,448.453,351
2025-10-21 12:31:00-04:00,448.46,448.51,448.17,448.25,54287.0,448.304,253
2025-10-21 12:32:00-04:00,448.21,448.39,448.13,448.24,35950.0,448.25,197
2025-10-21 12:33:00-04:00,448.24,448.72,448.21,448.67,97203.0,448.571,499
2025-10-21 12:34:00-04:00,448.67,448.95,448.63,448.77,80252.0,448.777,417
2025-10-21 12:35:00-04:00,448.77,448.92,448.57,448.69,72211.0,448.737,351
2025-10-21 12:36:00-04:00,448.67,448.9,448.61,448.76,66351.0,448.78,343
